"Valid Values","Description","Source"
"correction","A published notice that rectifies an error or omission in a previously published research article, allowing the scientific record to be updated with accurate information.",""
"peer-reviewed","A publication or research article that has undergone a formal review by subject matter experts prior to publication.",""
"pre-print","A preliminary version of a research article that is published before peer review.",""
