"Valid Values","Description","Source"
"FFPE tissue","formalin-fixed paraffin-embedded preservation of tissue",""
"PFA-fixed tissue","Paraformaldehyde fixation to preserve tissue, often for immunohistochemistry (IHC)",""
"cell suspension","A mixture of single or disaggregated cell suspended in a liquid solution.",""
"flow-sorted cells","A cell suspension sample that has undergone fluorescence-activated cell sorting based on protein expression and cellular composition",""
"fresh tissue","Tissue that has not been fixed or preserved",""
"frozen tissue","Tissue that has been preserved by freezing at very low temperatures",""
"nuclei suspension","Isolated cell nuclei suspended in a liquid solution",""
