"Valid Values","Description","Source"
"10x Cell Ranger Human GRCh38 2020-A","",""
"10x Cell Ranger Human GRCh38 2024-A","",""
"unknown","",""
"vdj_GRCh38_alts_ensembl-4.0.0","",""
