"Valid Values","Description","Source"
"g","gram, a unit of mass in the International System of Units equal to one thousandth of a kilogram.",""
"kg","kilogram,  the base unit of mass in the International System of Units (SI).",""
"lb","(avoirdupois) pound, a unit of mass used in both the British imperial and United States customary systems of measurement.",""
"oz","(avoirdupois) ounce, a unit of mass, 1/16 of a lb, uses in the United States.",""
