"Valid Values","Description","Source"
"deprecated","Dataset has been retired and is no longer surfaced on the portal.",
"released","Dataset is released to the public and currently surfaced on the portal",
"test","A test or mock dataset, not surfaced on the portal, likely not accessible to public",
"under peer review","A publication dataset that has been created and is currently being assessed by peer reviewers, not yet released to the public or surfaced on the portal",
"unreleased","A dataset not yet released to public or surfaced on the portal",
