"Valid Values","Description","Source"
"bulk","Data that is derived by measuring the average abundance of biological components from a population of cells.",""
"none","No applicable or appropriate `dataSubtype` to define.",""
"pseudobulk","Data that is derived from an aggregation of measurements to approximate a bulk experimental proceedure from data otherwise collected with single-cell/nucleus or spatial resolution.",""
"single-cell","Data that is derived by measuring the abundance of biological components isolated from individual cells.",""
"single-nucleus","Data that is derived by measuring the abundance of biological components isolated from individual cell nuclei.",""
"spatial","",""
