"Valid Values","Description","Source"
"Not Applicable","",""
"filtered MEX","",""
"filtered_feature_bc_matrix","",""
"filtered_peak_bc_matrix","",""
"raw MEX","",""
"raw_feature_bc_matrix","",""
"raw_peak_bc_matrix","",""
