"Valid Values","Description","Source"
"American indian or Alaska native","",""
"asian","",""
"black or African American","",""
"hispanic","",""
"mixed race","",""
"native Hawaiian or other pacific islander","",""
"other","",""
"unknown","",""
"white","",""
